City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
319,Sao Domingos,BR,-13.3983,-46.3183,78.94,68,97,2.13,overcast clouds
320,Gabu,GW,12.2833,-14.2167,86.23,24,100,4.23,overcast clouds
321,Outjo,NA,-20.1167,16.15,73.92,11,0,14.58,clear sky
322,Tukrah,LY,32.5341,20.5791,62.92,76,30,12.33,scattered clouds
323,Blagoyevo,RU,63.3667,47.9167,10.15,95,85,5.77,overcast clouds
324,Moree,AU,-29.4667,149.85,60.82,82,64,11.5,broken clouds
325,Lakes Entrance,AU,-37.8811,147.981,53.17,81,100,8.75,overcast clouds
326,Constitucion,CL,-35.3333,-72.4167,70.9,52,3,6.13,clear sky
327,Gabi,PH,7.6215,126.092,72.61,96,100,1.83,overcast clouds
328,Dhangadhi,NP,28.7079,80.5961,63.43,72,5,3.38,clear sky
329,Zhongshan,CN,21.3226,110.5829,58.84,52,90,6.69,overcast clouds
330,Monki,PL,53.405,22.7979,28.67,86,100,7.38,light snow
331,Dubbo,AU,-32.25,148.6167,59.13,72,75,14.97,light rain
332,Tawang,IN,27.5833,91.8667,39.29,84,100,3.65,overcast clouds
333,Pisco,PE,-13.7,-76.2167,71.65,73,40,6.91,scattered clouds
334,Mangrol,IN,21.1167,70.1167,73.83,54,0,11.3,clear sky
335,Vao,NC,-22.6667,167.4833,74.73,82,100,16.02,light rain
336,Okakarara,NA,-20.5833,17.4333,75.06,7,0,9.46,clear sky
337,Casper,US,42.8666,-106.3131,23.72,77,90,11.01,snow
338,Muroto,JP,33.2833,134.15,53.26,70,90,10.6,overcast clouds
339,Umba,RU,66.6871,34.3429,7.43,89,48,8.79,scattered clouds
340,Ayan,RU,56.45,138.1667,21.94,64,100,5.82,overcast clouds
341,Port Lincoln,AU,-34.7333,135.8667,56.5,83,0,3.02,clear sky
342,Ciudad Bolivar,VE,8.1222,-63.5497,89.02,45,100,9.93,overcast clouds
343,Salinas,US,36.6777,-121.6555,69.04,76,1,4.61,clear sky
344,Pevek,RU,69.7008,170.3133,-8.84,96,100,6.44,overcast clouds
345,Hudson Bay,CA,52.85,-102.3842,0.34,78,100,9.98,overcast clouds
346,Provideniya,RU,64.3833,-173.3,30.67,97,100,24.74,snow
